grading_id,assignment_id,student_id,grader_id,grader_name,score,status,graded_date,feedback
GRD_S001_A001,A001,S001,TA001,李助教,,pending,,
GRD_S001_A002,A002,S001,TA001,李助教,95.0,graded,2026-05-21,作业完成良好
GRD_S001_A003,A003,S001,TA001,李助教,100.0,graded,2026-06-16,作业完成良好
GRD_S001_A004,A004,S001,TA002,王助教,,pending,,
GRD_S001_A005,A005,S001,TA002,王助教,91.0,graded,2026-06-13,作业完成良好
GRD_S001_A006,A006,S001,TA002,王助教,,pending,,
GRD_S002_A001,A001,S002,TA001,李助教,77.0,graded,2026-05-16,作业完成良好
GRD_S002_A002,A002,S002,TA001,李助教,83.0,graded,2026-05-25,作业完成良好
GRD_S002_A003,A003,S002,TA001,李助教,95.0,graded,2026-06-09,作业完成良好
GRD_S002_A004,A004,S002,TA002,王助教,62.0,graded,2026-05-26,作业完成良好
GRD_S002_A005,A005,S002,TA002,王助教,86.0,graded,2026-06-17,作业完成良好
GRD_S002_A006,A006,S002,TA002,王助教,,pending,,
GRD_S003_A001,A001,S003,TA001,李助教,76.0,graded,2026-05-15,作业完成良好
GRD_S003_A002,A002,S003,TA001,李助教,88.0,graded,2026-05-22,作业完成良好
GRD_S003_A003,A003,S003,TA001,李助教,74.0,graded,2026-06-03,作业完成良好
GRD_S003_A004,A004,S003,TA002,王助教,100.0,graded,2026-05-27,作业完成良好
GRD_S003_A005,A005,S003,TA002,王助教,98.0,graded,2026-06-16,作业完成良好
GRD_S003_A006,A006,S003,TA002,王助教,73.0,graded,2026-06-23,作业完成良好
GRD_S004_A002,A002,S004,TA001,李助教,82.0,graded,2026-05-21,作业完成良好
GRD_S004_A003,A003,S004,TA001,李助教,81.0,graded,2026-06-07,作业完成良好
GRD_S004_A004,A004,S004,TA002,王助教,81.0,graded,2026-05-27,作业完成良好
GRD_S004_A005,A005,S004,TA002,王助教,65.0,graded,2026-06-23,作业完成良好
GRD_S004_A006,A006,S004,TA002,王助教,97.0,graded,2026-06-25,作业完成良好
GRD_S005_A003,A003,S005,TA001,李助教,82.0,graded,2026-06-10,作业完成良好
GRD_S005_A004,A004,S005,TA002,王助教,85.0,graded,2026-05-30,作业完成良好
GRD_S005_A005,A005,S005,TA002,王助教,,pending,,
GRD_S005_A006,A006,S005,TA002,王助教,,pending,,
GRD_S006_A002,A002,S006,TA001,李助教,62.0,graded,2026-05-18,作业完成良好
GRD_S006_A004,A004,S006,TA002,王助教,,pending,,
GRD_S006_A005,A005,S006,TA002,王助教,70.0,graded,2026-06-15,作业完成良好
GRD_S006_A006,A006,S006,TA002,王助教,90.0,graded,2026-06-24,作业完成良好
GRD_S007_A001,A001,S007,TA001,李助教,,pending,,
GRD_S007_A002,A002,S007,TA001,李助教,90.0,graded,2026-05-16,作业完成良好
GRD_S007_A003,A003,S007,TA001,李助教,81.0,graded,2026-05-31,作业完成良好
GRD_S007_A004,A004,S007,TA002,王助教,63.0,graded,2026-05-25,作业完成良好
GRD_S007_A005,A005,S007,TA002,王助教,,pending,,
GRD_S007_A006,A006,S007,TA002,王助教,94.0,graded,2026-06-27,作业完成良好
GRD_S008_A001,A001,S008,TA001,李助教,80.0,graded,2026-05-15,作业完成良好
GRD_S008_A002,A002,S008,TA001,李助教,94.0,graded,2026-06-01,作业完成良好
GRD_S008_A003,A003,S008,TA001,李助教,67.0,graded,2026-06-08,作业完成良好
GRD_S008_A004,A004,S008,TA002,王助教,71.0,graded,2026-05-27,作业完成良好
GRD_S008_A005,A005,S008,TA002,王助教,86.0,graded,2026-06-10,作业完成良好
GRD_S008_A006,A006,S008,TA002,王助教,85.0,graded,2026-06-19,作业完成良好
GRD_S009_A001,A001,S009,TA001,李助教,,pending,,
GRD_S009_A002,A002,S009,TA001,李助教,80.0,graded,2026-05-29,作业完成良好
GRD_S009_A003,A003,S009,TA001,李助教,94.0,graded,2026-06-03,作业完成良好
GRD_S009_A005,A005,S009,TA002,王助教,66.0,graded,2026-06-08,作业完成良好
GRD_S009_A006,A006,S009,TA002,王助教,99.0,graded,2026-06-22,作业完成良好
GRD_S010_A001,A001,S010,TA001,李助教,70.0,graded,2026-05-16,作业完成良好
GRD_S010_A002,A002,S010,TA001,李助教,75.0,graded,2026-05-21,作业完成良好
GRD_S010_A003,A003,S010,TA001,李助教,64.0,graded,2026-06-11,作业完成良好
GRD_S010_A004,A004,S010,TA002,王助教,62.0,graded,2026-05-27,作业完成良好
GRD_S010_A005,A005,S010,TA002,王助教,91.0,graded,2026-06-23,作业完成良好
GRD_S010_A006,A006,S010,TA002,王助教,90.0,graded,2026-06-26,作业完成良好
